                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
4688               Бобринець  2016      5                           15.6                       24.8                        5.3                       2.2                    119.30                  0.0                         2.017835
4693               Бобринець  2016     10                            6.9                       24.4                       -4.1                       3.0                    127.21                  0.0                         2.230056
4703               Богодухів  2016      8                           21.4                       32.4                       10.8                       2.7                    122.72                  0.0                         2.109591
4717                   Броди  2016     10                            7.0                       24.4                       -1.8                       2.8                    161.84                  0.0                         3.159159
4748           Веселий Поділ  2016      5                           15.2                       24.4                        6.5                       2.5                    158.20                  0.0                         3.061500
4785             Вознесенськ  2016      6                           21.9                       34.5                        6.7                       1.4                    207.11                  0.0                         4.373727
4789             Вознесенськ  2016     10                            7.9                       24.0                       -3.5                       1.7                    134.64                  0.0                         2.429398
4809                Гайворон  2016      6                           20.6                       32.6                        5.0                       1.6                    119.05                  0.0                         2.011127
4821                  Гайсин  2016      6                           20.1                       32.5                        4.7                       2.0                    129.40                  0.0                         2.288812
4882                Дрогобич  2016      7                           19.2                       32.0                        7.8                       1.8                    172.15                  0.0                         3.435770
4885                Дрогобич  2016     10                            7.0                       23.8                       -3.1                       2.8                    154.24                  0.0                         2.955255
4916                  Жашків  2016      5                           15.0                       24.8                        4.5                       0.9                    130.82                  0.0                         2.326910
4928                 Житомир  2016      5                           14.9                       27.1                        5.4                       0.9                    122.50                  0.0                         2.103689
4977               Знам’янка  2016      6                           20.0                       31.2                        7.3                       1.5                    136.00                  0.0                         2.465886
4981               Знам’янка  2016     10                            6.2                       24.4                       -4.7                       2.5                    126.60                  0.0                         2.213690
4993        Івано-Франківськ  2016     10                            6.7                       25.6                       -3.3                       3.2                    125.90                  0.0                         2.194909
5005                  Ізмаїл  2016     10                           10.0                       23.3                       -0.1                       3.5                    126.57                  0.0                         2.212885
5025   Кам’янець-Подільський  2016      6                           20.1                       31.1                        3.4                       2.3                    140.80                  0.0                         2.594668
5029   Кам’янець-Подільський  2016     10                            6.8                       23.8                       -0.4                       2.9                    121.46                  0.0                         2.075786
5048                    Київ  2016      5                           15.5                       25.6                        6.7                       2.0                    146.20                  0.0                         2.739546
5077           Кропивницький  2016     10                            6.6                       24.7                       -5.8                       4.1                    143.90                  0.0                         2.677839
5084                Кобеляки  2016      5                           15.7                       25.0                        6.8                       2.5                    142.70                  0.0                         2.645643
5085                Кобеляки  2016      6                           20.5                       31.5                        6.6                       2.2                    119.70                  0.0                         2.028566
5097                  Ковель  2016      6                           19.2                       33.2                        5.0                       1.8                    207.60                  0.0                         4.386874
5113                 Коломия  2016     10                            6.6                       24.1                       -1.5                       1.8                    137.98                  0.0                         2.519009
5133                 Конотоп  2016      6                           19.4                       30.7                        6.7                       1.6                    137.90                  0.0                         2.516862
5144              Красноград  2016      5                           15.7                       24.8                        7.2                       1.6                    136.90                  0.0                         2.490033
5204                   Лубни  2016      5                           15.0                       24.8                        4.8                       1.6                    191.80                  0.0                         3.962969
5233                   Львів  2016     10                            6.6                       22.2                       -1.7                       3.1                    178.30                  0.0                         3.600771
5245               Любашівка  2016     10                            6.9                       23.4                       -2.7                       2.8                    119.60                  0.0                         2.025884
5281     Могилів-Подільський  2016     10                            7.5                       24.3                       -1.9                       1.7                    124.80                  0.0                         2.165397
5288                   Ніжин  2016      5                           14.9                       26.4                        3.7                       2.0                    146.20                  0.0                         2.739546
5293                   Ніжин  2016     10                            6.2                       24.6                       -4.3                       2.4                    118.91                  0.0                         2.007371
5341              Нова Ушиця  2016     10                            6.2                       21.9                       -0.9                       2.5                    135.34                  0.0                         2.448179
5377                   Одеса  2016     10                            9.4                       19.9                        0.9                       4.2                    180.50                  0.0                         3.659796
5386                 Олевськ  2016      7                           20.2                       32.6                        9.5                       2.2                    144.60                  0.0                         2.696619
5396                 Полтава  2016      5                           15.4                       24.3                        6.3                       2.5                    119.90                  0.0                         2.033932
5402                 Полтава  2016     11                            0.8                       15.8                      -13.0                       3.6                    138.90                  5.0                         2.543692
5408                 Прилуки  2016      5                           14.9                       25.3                        4.1                       1.8                    119.00                  0.0                         2.009786
5437             Рава Руська  2016     10                            6.9                       23.4                       -2.4                       2.8                    148.71                  0.0                         2.806888
5440                   Рахів  2016      1                           -3.2                        9.1                      -17.3                       1.5                    154.51                  0.0                         2.962499
5441                   Рахів  2016      2                            3.4                       14.7                       -5.7                       1.2                    140.63                  0.0                         2.590107
5468                   Ромни  2016      5                           15.0                       24.9                        4.6                       1.3                    158.20                  0.0                         3.061500
5469                   Ромни  2016      6                           19.3                       30.0                        6.4                       1.3                    177.52                  0.0                         3.579844
5517                 Селятин  2016      6                           16.0                       31.6                        0.4                       1.2                    169.44                  0.0                         3.363063
5530               Семенівка  2016      7                           20.4                       34.0                       10.0                       2.3                    134.83                  0.0                         2.434496
5558                    Суми  2016      8                           20.3                       34.2                       10.8                       2.8                    121.60                  0.0                         2.079542
5596                   Турка  2016     10                            6.0                       21.2                       -5.3                       1.9                    132.30                  0.0                         2.366617
5608                 Ужгород  2016     10                            9.2                       23.1                       -1.7                       2.1                    149.10                  0.0                         2.817352
5639                  Харків  2016      5                           15.6                       24.8                        5.5                       3.0                    147.60                  0.0                         2.777108
5680            Хмельницький  2016     10                            5.9                       23.9                       -0.8                       4.0                    141.10                  0.0                         2.602716
5683                    Хуст  2016      1                           -2.6                        9.1                      -15.1                       1.0                    121.81                  0.0                         2.085177
5684                    Хуст  2016      2                            5.1                       15.0                       -3.8                       1.1                    125.61                  0.0                         2.187128
5711                 Черкаси  2016      5                           15.3                       25.2                        4.7                       2.8                    118.80                  0.0                         2.004420
5716                 Черкаси  2016     10                            6.5                       23.7                       -5.7                       3.4                    127.33                  0.0                         2.233275
5723                Чернігів  2016      5                           14.8                       26.0                        3.5                       2.4                    143.50                  0.0                         2.667107
5728                Чернігів  2016     10                            6.1                       24.2                       -3.8                       2.6                    135.60                  7.0                         2.455154
5735               Чорнобиль  2016      5                           14.8                       26.7                        4.2                       0.9                    134.50                  0.0                         2.425642
5740               Чорнобиль  2016     10                            5.9                       25.5                       -2.9                       1.4                    188.31                  0.0                         3.869334
5752                Чернівці  2016     10                            7.1                       24.0                       -0.8                       3.8                    145.10                  0.0                         2.710034
5756            Чорноморське  2016      2                            5.9                       16.4                       -4.7                       5.0                    222.60                  0.0                         4.789315
5776                 Чигирин  2016     10                            6.9                       23.3                       -5.9                       1.7                    133.42                  0.0                         2.396666
5788                 Чортків  2016     10                            6.4                       24.3                        0.1                       2.5                    133.84                  0.0                         2.407935
5807                  Яготин  2016      5                           15.4                       25.4                        4.3                       2.1                    128.10                  0.0                         2.253934
5885                Ай-Петрі  2017      1                           -5.2                        3.8                      -17.6                       2.4                    152.10                 92.0                         2.897840
5992               Богодухів  2017     12                            2.4                        9.3                       -3.4                       4.1                    119.26                  0.0                         2.016762
6001                   Броди  2017      9                           14.3                       28.0                        0.5                       2.3                    134.01                  0.0                         2.412496
6088                   Гадяч  2017     12                            2.4                       10.7                       -3.4                       2.8                    134.88                  0.0                         2.435837
6169                Дрогобич  2017      9                           14.0                       29.3                        1.4                       2.0                    178.02                  0.0                         3.593259
6184                  Дружба  2017     12                            0.7                        9.6                       -7.0                       2.0                    119.72                  0.0                         2.029103
6251            Звенигородка  2017      7                           20.8                       34.9                       10.0                       1.7                    118.81                  0.0                         2.004688
6256            Звенигородка  2017     12                            1.9                       10.0                       -5.1                       2.7                    119.84                  0.0                         2.032323
6263               Знам’янка  2017      7                           20.7                       34.9                       10.4                       1.7                    140.01                  0.0                         2.573472
6277        Івано-Франківськ  2017      9                           14.0                       28.6                       -1.4                       2.2                    174.20                  0.0                         3.490771
6340                    Київ  2017     12                            1.6                        9.6                       -3.4                       3.0                    132.80                 35.0                         2.380032
6393                 Коломия  2017      5                           13.7                       27.2                        2.5                       1.6                    119.82                  0.0                         2.031786
6397                 Коломия  2017      9                           13.9                       28.0                       -1.5                       1.4                    128.51                  0.0                         2.264934
6424                 Конотоп  2017     12                            1.6                       10.4                       -3.9                       2.5                    118.70                  9.0                         2.001737
6445              Крем’янець  2017      9                           14.9                       27.6                        5.0                       3.3                    165.45                  0.0                         3.256013
6496                   Лубни  2017     12                            2.3                       10.9                       -3.8                       2.5                    144.50                  5.0                         2.693936
6517                   Львів  2017      9                           14.1                       26.4                        5.4                       2.4                    138.30                  0.0                         2.527594
6575                   Ніжин  2017      7                           19.2                       29.6                        7.4                       2.0                    122.53                  0.0                         2.104494
6580                   Ніжин  2017     12                            1.4                        9.8                       -5.3                       2.7                    123.77                  0.0                         2.137762
6700                 Прилуки  2017     12                            1.8                       10.2                       -4.3                       2.6                    136.77                  0.0                         2.486545
6726                   Рахів  2017      2                            1.2                       14.9                       -8.5                       0.7                    195.93                  0.0                         4.073774
6729                   Рахів  2017      5                           13.9                       27.1                        1.9                       0.7                    122.13                  0.0                         2.093762
6730                   Рахів  2017      6                           17.9                       30.3                        7.1                       0.4                    174.20                  0.0                         3.490771
6733                   Рахів  2017      9                           13.8                       27.9                        2.2                       0.4                    158.11                  0.0                         3.059085
6734                   Рахів  2017     10                            8.8                       22.6                       -0.3                       0.7                    185.55                  0.0                         3.795285
6736                   Рахів  2017     12                            0.9                        9.9                       -4.2                       0.8                    154.74                  0.0                         2.968670
6760                   Ромни  2017     12                            1.7                       10.3                       -3.8                       2.1                    129.02                  0.0                         2.278617
6801                 Селятин  2017      5                           10.9                       23.4                       -1.6                       1.0                    125.74                  0.0                         2.190616
6802                 Селятин  2017      6                           15.5                       29.4                        3.1                       1.2                    181.86                  0.0                         3.696284
6805                 Селятин  2017      9                           11.7                       27.4                       -4.6                       1.1                    120.52                  0.0                         2.050567
6844                    Суми  2017     12                            1.8                        9.8                       -5.3                       4.2                    119.00                  4.0                         2.009786
6868      Тетерів (Пісківка)  2017     12                            1.4                        8.7                       -3.3                       1.6                    121.14                  0.0                         2.067201
6875                   Турка  2017      7                           16.5                       28.4                        5.0                       1.5                    161.61                  0.0                         3.152988
6877                   Турка  2017      9                           11.9                       25.6                       -1.3                       1.5                    145.90                  0.0                         2.731498
6880                   Турка  2017     12                            0.1                        9.9                       -6.7                       2.2                    141.12                  0.0                         2.603253
6892                 Ужгород  2017     12                            2.4                       10.7                       -3.7                       2.1                    135.80                 10.0                         2.460520
6949                Хмільник  2017      9                           14.8                       28.9                        1.0                       1.6                    137.30                  0.0                         2.500765
6970                    Хуст  2017      6                           20.0                       31.8                        7.8                       1.5                    164.61                  0.0                         3.233476
6976                    Хуст  2017     12                            1.4                        8.6                       -2.6                       1.1                    187.31                  0.0                         3.842505
7024               Чорнобиль  2017     12                            0.9                        8.4                       -4.2                       1.5                    125.13                  0.0                         2.174250
7069                 Чортків  2017      9                           14.6                       27.7                        2.7                       1.6                    120.34                  0.0                         2.045737
7096                  Яготин  2017     12                            1.6                       10.8                       -4.4                       2.7                    122.47                  0.0                         2.102884
7097                    Ялта  2017      1                            3.2                       10.4                       -6.5                       1.9                    143.78                  0.0                         2.674619
7111                Ай-Петрі  2018      1                           -2.2                        6.8                      -13.9                       3.6                    130.90                 28.0                         2.329056
7112                Ай-Петрі  2018      2                           -1.4                        5.1                       -9.5                       3.4                    126.60                 23.0                         2.213690
7113                Ай-Петрі  2018      3                            1.6                       11.6                      -12.0                       4.2                    138.90                 22.0                         2.543692
7117                Ай-Петрі  2018      7                           16.9                       25.4                       10.6                       3.3                    187.60                  0.0                         3.850285
7122                Ай-Петрі  2018     12                           -1.1                        7.2                       -8.1                       4.0                    185.40                 25.0                         3.791260
7155             Біла Церква  2018      7                           20.5                       30.0                       10.0                       2.6                    128.50                  0.0                         2.264665
7179                Бережани  2018      7                           19.3                       27.9                        8.2                       1.8                    186.60                  0.0                         3.823456
7191               Бобринець  2018      7                           22.3                       31.0                       10.3                       1.6                    123.60                  0.0                         2.133201
7203               Богодухів  2018      7                           21.5                       30.7                       10.6                       2.7                    121.50                  0.0                         2.076859
7215                   Броди  2018      7                           19.5                       29.8                        8.5                       2.0                    158.90                  0.0                         3.080280
7262                 Вінниця  2018      6                           19.3                       29.0                        7.3                       3.4                    186.20                  0.0                         3.812724
7275               Володимир  2018      7                           20.0                       29.9                        9.4                       2.0                    144.60                  0.0                         2.696619
7323                  Гайсин  2018      7                           20.8                       30.5                       10.1                       1.5                    151.30                  0.0                         2.876377
7343                Губиниха  2018      3                           -2.1                       10.6                      -17.2                       3.5                    119.20                 20.0                         2.015152
7357                  Дніпро  2018      3                           -1.5                       10.8                      -15.9                       4.6                    144.90                 39.0                         2.704668
7373                Дрогобич  2018      7                           19.3                       28.0                        7.5                       2.2                    169.10                  0.0                         3.353941
7411                 Житомир  2018      7                           20.3                       30.2                        9.0                       1.2                    156.40                  0.0                         3.013207
7422                Жмеринка  2018      6                           19.2                       28.2                        7.1                       2.1                    133.80                  0.0                         2.406861
7423                Жмеринка  2018      7                           19.9                       29.4                        9.2                       2.2                    158.20                  0.0                         3.061500
7470        Івано-Франківськ  2018      6                           18.5                       29.6                        7.3                       2.2                    140.10                  0.0                         2.575887
7491                    Ізюм  2018      3                           -2.1                        7.8                      -17.3                       2.2                    122.60                 26.0                         2.106372
7543               Кирилівка  2018      7                           23.1                       32.9                       13.2                       0.8                    136.90                  0.0                         2.490033
7555               Клепиніне  2018      7                           24.1                       33.9                       14.5                       2.0                    150.30                  0.0                         2.849547
7567           Кропивницький  2018      7                           22.0                       31.5                       10.0                       2.9                    125.40                  0.0                         2.181494
7575                Кобеляки  2018      3                           -2.0                       11.0                      -17.4                       3.3                    120.40                 25.0                         2.047347
7578                Кобеляки  2018      6                           21.1                       33.4                        9.0                       2.8                    124.30                  0.0                         2.151982
7602                 Коломия  2018      6                           18.2                       29.1                        5.9                       1.5                    181.90                  0.0                         3.697357
7603                 Коломия  2018      7                           19.3                       28.8                        7.3                       1.7                    172.30                  0.0                         3.439795
7635              Красноград  2018      3                           -2.5                        8.8                      -15.0                       2.8                    121.30                 31.0                         2.071494
7647              Крем’янець  2018      3                           -2.5                        8.8                      -15.0                       2.8                    121.30                 31.0                         2.071494
7698                   Лубни  2018      6                           20.2                       30.9                        6.9                       1.6                    118.70                  0.0                         2.001737
7699                   Лубни  2018      7                           21.3                       30.6                        9.7                       1.4                    136.90                  0.0                         2.490033
7711                   Луцьк  2018      7                           20.2                       30.4                        9.6                       1.9                    138.70                  0.0                         2.538326
7722                   Львів  2018      6                           18.3                       29.4                        8.5                       1.8                    153.40                  0.0                         2.932718
7723                   Львів  2018      7                           19.1                       27.5                        9.8                       1.9                    123.50                  0.0                         2.130518
7770     Могилів-Подільський  2018      6                           20.7                       30.6                        7.2                       1.1                    197.40                  0.0                         4.113214
7807                 Звягель  2018      7                           20.0                       30.8                        8.8                       1.4                    122.10                  0.0                         2.092957
7830              Нова Ушиця  2018      6                           19.6                       28.5                        7.0                       1.4                    178.90                  0.0                         3.616869
7855                   Овруч  2018      7                           20.0                       30.4                        8.6                       0.9                    145.90                  0.0                         2.731498
7917                  Пришиб  2018      9                           18.1                       32.2                        2.1                       3.2                    125.20                  0.0                         2.176128
7935                   Рахів  2018      3                            0.8                       12.5                      -15.1                       0.7                    128.80                 24.0                         2.272714
7942                   Рахів  2018     10                            9.9                       23.6                        0.6                       0.5                    130.20                  0.0                         2.310276
7944                   Рахів  2018     12                           -0.9                        4.5                      -15.6                       0.3                    131.80                 30.0                         2.353203
8000                 Селятин  2018      6                           15.5                       27.2                        1.6                       0.8                    224.50                  0.0                         4.840291
8001                 Селятин  2018      7                           16.3                       24.2                        1.7                       1.0                    268.20                  0.0                         6.012738
8002                 Селятин  2018      8                           17.5                       27.4                        8.2                       0.7                    256.80                  0.0                         5.706882
8072                   Турка  2018      6                           16.0                       26.7                        5.9                       1.3                    229.40                  0.0                         4.971755
8073                   Турка  2018      7                           17.1                       26.2                        6.6                       1.3                    182.80                  0.0                         3.721504
8111                Феодосія  2018      9                           20.3                       31.0                        7.8                       2.1                    128.90                  0.0                         2.275397
8156            Хмельницький  2018      6                           18.6                       28.4                        6.1                       3.1                    128.70                  0.0                         2.270031
8168                    Хуст  2018      6                           20.3                       31.1                       10.0                       1.5                    128.30                  0.0                         2.259300
8174                    Хуст  2018     12                           -0.3                        6.8                      -12.5                       1.0                    145.60                 28.0                         2.723449
8205                Чернігів  2018      7                           20.5                       28.8                        8.0                       2.4                    145.90                  0.0                         2.731498
8228                Чернівці  2018      6                           19.4                       29.3                        6.2                       2.9                    172.80                  0.0                         3.453209
8264                 Чортків  2018      6                           18.8                       28.2                        7.2                       1.7                    191.80                  0.0                         3.962969
8303                    Ялта  2018      9                           20.7                       30.6                       10.0                       1.7                    136.40                  0.0                         2.476618
8308                Ай-Петрі  2019      1                           -2.4                        7.9                      -10.6                       3.4                    200.70                 71.0                         4.201751
8318                Ай-Петрі  2019     11                            7.2                       17.4                       -5.4                       3.2                    125.30                  0.0                         2.178811
8360               Білопілля  2019      5                           15.6                       26.1                        3.1                       1.6                    131.20                  0.0                         2.337105
8372                Бережани  2019      5                           13.8                       26.0                       -0.3                       1.9                    152.80                  0.0                         2.916621
8408                   Броди  2019      5                           14.0                       25.7                       -0.5                       2.1                    140.50                  0.0                         2.586619
8456                 Вінниця  2019      5                           15.5                       25.9                        2.4                       3.7                    144.40                  0.0                         2.691254
8471               Володимир  2019      8                           19.5                       31.0                        8.8                       1.8                    131.40                  0.0                         2.342471
8505                Гайворон  2019      6                           22.8                       33.2                        9.6                       1.5                    211.70                  0.0                         4.496874
8564                Дрогобич  2019      5                           13.3                       24.9                       -0.3                       1.9                    153.10                  0.0                         2.924670
8566                Дрогобич  2019      7                           18.8                       32.3                        7.2                       2.4                    130.20                  0.0                         2.310276
8567                Дрогобич  2019      8                           19.4                       31.7                        7.6                       1.5                    127.00                  0.0                         2.224421
8600                 Житомир  2019      5                           16.0                       26.8                        3.5                       1.5                    152.60                  0.0                         2.911255
8627               Запоріжжя  2019      8                           21.9                       32.3                        9.9                       3.3                    125.10                  0.0                         2.173445
8660        Івано-Франківськ  2019      5                           13.7                       26.3                       -1.0                       2.8                    235.30                  0.0                         5.130049
8696   Кам’янець-Подільський  2019      5                           15.1                       26.5                        0.1                       2.6                    139.30                  0.0                         2.554423
8697   Кам’янець-Подільський  2019      6                           21.8                       30.9                        9.5                       1.8                    198.30                  0.0                         4.137360
8745               Клепиніне  2019      6                           23.9                       33.9                       11.1                       2.4                    120.10                  0.0                         2.039298
8792                 Коломия  2019      5                           13.5                       24.5                       -0.5                       2.0                    243.50                  0.0                         5.350050
8912                   Львів  2019      5                           13.1                       25.2                       -0.4                       2.4                    161.40                  0.0                         3.147354
8960     Могилів-Подільський  2019      5                           16.5                       28.6                        3.2                       1.4                    174.80                  0.0                         3.506868
8996                 Звягель  2019      5                           15.3                       26.6                        0.5                       1.6                    137.90                  0.0                         2.516862
9009            Нова Каховка  2019      6                           24.6                       33.4                       13.0                       2.6                    138.60                  0.0                         2.535643
9020              Нова Ушиця  2019      5                           15.0                       26.0                        0.8                       1.5                    183.90                  0.0                         3.751016
9045                   Овруч  2019      6                           21.8                       31.8                       10.8                       0.9                    125.50                  0.0                         2.184177
9068                 Олевськ  2019      5                           14.8                       26.5                       -0.8                       2.0                    133.00                  0.0                         2.385398
9092                 Прилуки  2019      5                           17.3                       29.3                        5.4                       2.0                    120.80                  0.0                         2.058079
9116             Рава Руська  2019      5                           13.4                       25.4                        1.0                       2.6                    184.50                  0.0                         3.767114
9119             Рава Руська  2019      8                           19.7                       30.5                        9.4                       1.7                    129.10                  0.0                         2.280763
9124                   Рахів  2019      1                           -2.8                        3.4                      -12.6                       0.5                    119.10                 56.0                         2.012469
9126                   Рахів  2019      3                            4.4                       19.5                       -7.3                       0.9                    129.80                 14.0                         2.299544
9128                   Рахів  2019      5                           13.4                       26.2                        1.6                       0.5                    221.50                  0.0                         4.759803
9130                   Рахів  2019      7                           17.9                       31.0                        8.8                       0.6                    126.40                  0.0                         2.208324
9134                   Рахів  2019     11                            7.4                       22.6                       -3.5                       0.5                    131.30                  0.0                         2.339788
9164                   Сарни  2019      5                           15.1                       26.5                        0.4                       2.5                    140.70                  0.0                         2.591985
9188                 Селятин  2019      5                           11.1                       23.7                       -2.6                       1.1                    188.70                  6.0                         3.879797
9189                 Селятин  2019      6                           17.5                       28.8                        6.1                       1.0                    153.30                  0.0                         2.930035
9248      Тетерів (Пісківка)  2019      5                           16.5                       27.5                        4.0                       1.3                    130.70                  0.0                         2.323690
9260                   Турка  2019      5                           11.0                       24.1                       -1.6                       1.6                    148.50                  0.0                         2.801254
9263                   Турка  2019      8                           17.6                       29.1                        4.7                       1.2                    131.60                  0.0                         2.347837
9332                Хмільник  2019      5                           15.3                       26.8                        1.8                       1.7                    125.30                  0.0                         2.178811
9344            Хмельницький  2019      5                           14.3                       25.4                        2.2                       3.1                    155.30                  0.0                         2.983694
9352                    Хуст  2019      1                           -2.2                        3.7                      -15.9                       1.0                    150.30                 43.0                         2.849547
9356                    Хуст  2019      5                           14.7                       26.3                        2.1                       1.3                    252.80                  0.0                         5.599564
9416                Чернівці  2019      5                           14.8                       26.3                        2.1                       3.3                    129.30                  0.0                         2.286129
9452                 Чортків  2019      5                           14.2                       25.9                        1.0                       2.0                    124.50                  0.0                         2.157348
9464               Шепетівка  2019      5                           14.4                       25.0                        0.4                       2.3                    137.80                  0.0                         2.514179
9497                Ай-Петрі  2020      2                           -2.3                        7.2                      -16.2                       4.7                    145.50                 31.0                         2.720766
9548               Білопілля  2020      5                           11.7                       27.0                        0.8                       2.1                    121.60                  0.0                         2.079542
9560                Берегове  2020      6                           20.4                       31.1                        5.1                       0.8                    140.80                  0.0                         2.594668
9571                Бережани  2020      5                           11.2                       26.9                       -1.7                       2.4                    129.20                  0.0                         2.283446
9595               Богодухів  2020      5                           13.1                       23.5                        4.0                       3.5                    153.70                  0.0                         2.940767
9607                   Броди  2020      5                           11.3                       26.3                       -2.0                       2.7                    135.40                  0.0                         2.449789
9609                   Броди  2020      7                           18.9                       29.8                        8.3                       1.6                    166.30                  0.0                         3.278818
9643           Веселий Поділ  2020      5                           13.2                       25.0                        1.5                       2.4                    138.70                  0.0                         2.538326
9655                 Вінниця  2020      5                           11.6                       26.3                        1.5                       3.8                    152.30                  0.0                         2.903206
9715                  Гайсин  2020      5                           12.3                       27.6                        1.2                       2.3                    128.80                  0.0                         2.272714
9763                Дрогобич  2020      5                           11.2                       26.7                       -2.2                       2.7                    168.40                  0.0                         3.335160
9764                Дрогобич  2020      6                           18.4                       29.1                        4.8                       1.6                    130.70                  0.0                         2.323690
9799                 Житомир  2020      5                           11.9                       27.3                        1.3                       1.1                    142.80                  0.0                         2.648326
9824               Запоріжжя  2020      6                           22.3                       33.8                        9.5                       2.7                    134.00                  0.0                         2.412227
9859        Івано-Франківськ  2020      5                           11.7                       28.7                       -2.8                       3.3                    124.50                  0.0                         2.157348
9860        Івано-Франківськ  2020      6                           18.6                       28.6                        4.9                       2.4                    237.40                  0.0                         5.186391
9861        Івано-Франківськ  2020      7                           19.1                       30.0                        7.8                       1.6                    122.60                  0.0                         2.106372
9896   Кам’янець-Подільський  2020      6                           20.0                       30.4                        4.2                       2.2                    155.00                  0.0                         2.975646
9899   Кам’янець-Подільський  2020      9                           17.0                       30.1                        4.2                       2.1                    119.60                  0.0                         2.025884
9919                    Київ  2020      5                           12.4                       26.7                        2.1                       2.7                    126.70                  0.0                         2.216373
9980                  Ковель  2020      6                           19.6                       31.4                        7.4                       2.3                    152.00                  0.0                         2.895157
9991                 Коломия  2020      5                           11.5                       28.0                       -3.0                       2.4                    126.40                  0.0                         2.208324
9992                 Коломия  2020      6                           18.4                       28.8                        4.5                       1.8                    228.00                  0.0                         4.934194
10015                Конотоп  2020      5                           12.2                       24.6                        1.8                       1.8                    235.10                  0.0                         5.124683
10027             Красноград  2020      5                           13.5                       24.3                        4.4                       2.3                    130.70                  0.0                         2.323690
10039             Крем’янець  2020      5                           11.4                       26.7                        3.0                       2.1                    177.20                  0.0                         3.571259
10040             Крем’янець  2020      6                           19.2                       30.4                        5.7                       1.9                    129.40                  0.0                         2.288812
10087                  Лубни  2020      5                           12.8                       25.2                        2.8                       1.9                    295.60                  0.0                         6.747864
10111                  Львів  2020      5                           10.8                       25.8                       -1.5                       2.6                    148.40                  0.0                         2.798571
10112                  Львів  2020      6                           18.4                       29.5                        4.1                       2.2                    140.30                  0.0                         2.581253
10123              Любашівка  2020      5                           13.1                       27.4                        1.1                       2.8                    136.30                  0.0                         2.473935
10171                  Ніжин  2020      5                           12.2                       24.5                        2.1                       2.2                    151.20                  0.0                         2.873694
10196                Звягель  2020      6                           20.3                       32.5                        5.5                       1.4                    128.90                  0.0                         2.275397
10255                  Одеса  2020      5                           14.1                       24.7                        5.9                       2.0                    135.90                  0.0                         2.463203
10267                Олевськ  2020      5                           11.3                       26.4                       -1.5                       2.8                    124.30                  0.0                         2.151982
10291                Прилуки  2020      5                           12.5                       25.3                        2.1                       2.0                    146.60                  0.0                         2.750278
10315            Рава Руська  2020      5                           11.5                       26.0                        0.4                       3.2                    125.50                  0.0                         2.184177
10316            Рава Руська  2020      6                           18.4                       29.2                        6.4                       2.4                    175.90                  0.0                         3.536381
10324                  Рахів  2020      2                            1.3                        8.4                       -9.8                       0.7                    207.90                  9.0                         4.394923
10327                  Рахів  2020      5                           11.3                       26.4                        0.5                       0.8                    135.70                  0.0                         2.457837
10328                  Рахів  2020      6                           17.7                       29.8                        4.5                       0.6                    313.60                  0.0                         7.230794
10339                  Рівне  2020      5                           11.2                       27.3                        0.5                       4.0                    137.50                  0.0                         2.506130
10340                  Рівне  2020      6                           19.5                       31.6                        6.4                       3.4                    131.30                  0.0                         2.339788
10364                  Сарни  2020      6                           19.8                       32.5                        5.3                       2.3                    164.40                  0.0                         3.227842
10375           Світловодськ  2020      5                           14.0                       26.6                        5.2                       2.3                    132.50                  0.0                         2.371983
10387                Селятин  2020      5                            9.0                       23.4                       -3.1                       1.4                    136.00                  2.0                         2.465886
10388                Селятин  2020      6                           15.5                       26.2                        2.1                       0.8                    232.80                  0.0                         5.062976
10399              Семенівка  2020      5                           11.4                       24.7                        0.4                       2.7                    125.70                  0.0                         2.189543
10422               Славське  2020      5                            9.0                       22.5                       -5.2                       1.2                    161.60                  0.0                         3.152720
10423               Славське  2020      6                           16.2                       27.2                        2.6                       1.2                    259.20                  0.0                         5.771273
10424               Славське  2020      7                           16.5                       27.8                        6.2                       0.9                    157.40                  0.0                         3.040036
10458     Тетерів (Пісківка)  2020      5                           11.7                       27.4                       -0.3                       1.4                    181.80                  0.0                         3.694674
10470                  Турка  2020      5                            8.9                       22.8                       -4.3                       2.1                    190.80                  0.0                         3.936139
10471                  Турка  2020      6                           16.2                       28.1                        1.8                       1.5                    162.60                  0.0                         3.179549
10483                Ужгород  2020      6                           19.8                       31.5                        3.9                       2.1                    123.10                  0.0                         2.119787
10484                Ужгород  2020      7                           20.4                       30.7                        7.9                       1.6                    135.30                  0.0                         2.447106
10494                  Умань  2020      5                           12.5                       27.2                        1.7                       2.0                    124.70                  0.0                         2.162714
10518                 Харків  2020      5                           13.6                       24.7                        3.8                       3.7                    137.90                  0.0                         2.516862
10555           Хмельницький  2020      6                           19.2                       30.7                        5.8                       2.8                    148.30                  0.0                         2.795888
10567                   Хуст  2020      6                           19.7                       30.7                        5.4                       1.2                    177.60                  0.0                         3.581991
10571                   Хуст  2020     10                           11.5                       24.4                        1.9                       1.0                    139.20                  0.0                         2.551740
10603               Чернігів  2020      6                           21.4                       32.4                        7.9                       2.2                    127.00                  0.0                         2.224421
10614              Чорнобиль  2020      5                           11.7                       25.8                       -1.7                       1.3                    141.60                  0.0                         2.616131
