                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
965                   Гайсин  2012     12                           -5.1                        6.2                      -19.7                       2.2                    240.80                 36.0                         5.277611
975                 Губиниха  2012     10                           11.9                       23.8                        1.2                       2.6                    162.60                  0.0                         3.179549
985                   Дніпро  2012      8                           22.6                       38.3                        8.0                       4.2                    125.20                  0.0                         2.176128
999                   Дружба  2012     10                            8.1                       24.6                       -4.5                       1.7                    139.80                  9.0                         2.567838
1007                  Жашків  2012     12                           -5.1                        6.9                      -17.9                       1.3                    250.10                 34.0                         5.527125
1023                Жмеринка  2012     12                           -5.6                        8.0                      -19.2                       3.1                    166.20                 35.0                         3.276135
1031               Запоріжжя  2012      8                           23.4                       37.5                        7.3                       3.7                    185.50                  0.0                         3.793943
1039            Звенигородка  2012     10                           10.5                       25.5                       -0.3                       1.6                    120.70                  0.0                         2.055396
1041            Звенигородка  2012     12                           -4.7                        9.1                      -18.6                       1.9                    269.50                 35.0                         6.047616
1045               Знам’янка  2012     10                           11.1                       25.1                        0.9                       2.2                    174.40                  0.0                         3.496137
1065                  Ізмаїл  2012     12                           -0.1                       13.3                      -12.0                       3.5                    204.50                  7.0                         4.303703
1073                    Ізюм  2012      8                           21.6                       37.7                        7.0                       1.5                    155.00                  0.0                         2.975646
1081   Кам’янець-Подільський  2012     10                           10.2                       26.6                       -0.4                       2.1                    135.70                  0.0                         2.457837
1083   Кам’янець-Подільський  2012     12                           -5.1                        7.0                      -17.7                       2.7                    192.30                 45.0                         3.976383
1107                    Київ  2012     12                           -5.0                        5.9                      -17.1                       2.4                    171.90                 54.0                         3.429063
1129           Кропивницький  2012     10                           11.5                       24.5                        0.1                       3.6                    139.40                  1.0                         2.557106
1135                Кобеляки  2012     10                           11.6                       25.0                        0.5                       2.6                    221.20                  0.0                         4.751754
1153             Комісарівка  2012     10                           12.0                       25.0                        0.5                       2.0                    192.00                  0.0                         3.968335
1171              Красноград  2012     10                           11.5                       24.5                        1.0                       2.1                    220.40                  0.0                         4.730291
1174              Крем’янець  2012     10                            8.4                       20.2                       -0.8                       3.1                    176.50                  0.0                         3.552478
1176              Крем’янець  2012     12                           -4.8                        8.6                      -16.8                       4.6                    125.10                 32.0                         2.173445
1192               Куп’янськ  2012     10                           11.0                       23.6                       -4.0                       1.4                    152.90                  0.0                         2.919304
1194               Куп’янськ  2012     12                           -4.3                       12.6                      -22.4                       2.3                    187.20                 41.0                         3.839553
1215                   Луцьк  2012      9                           15.1                       27.3                        3.5                       2.1                    169.90                  0.0                         3.375404
1216                   Луцьк  2012     10                            8.5                       21.8                       -1.0                       2.6                    164.00                  0.7                         3.217110
1218                   Луцьк  2012     12                           -5.5                        4.2                      -17.6                       2.9                    139.30                 28.0                         2.554423
1242               Любашівка  2012     12                           -4.4                        6.4                      -18.0                       3.7                    125.50                 20.0                         2.184177
1290                Миколаїв  2012     12                           -1.0                       13.4                      -21.1                       5.6                    133.10                  9.0                         2.388081
